   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  9.200000000E-04   1.925353796E+01   3.015960942E+00   1.507980803E+02   0.000000000E+00   1.994944198E+01   2.400000000E+02   1.000000000E+00   1.680957985E+01 
  9.300000000E-04   2.057337268E+01   3.032538167E+00   1.516269416E+02   0.000000000E+00   1.925353796E+01   2.400000000E+02   1.000000000E+00   1.686541748E+01 
  9.400000000E-04   2.189232776E+01   3.029507909E+00   1.514754275E+02   0.000000000E+00   2.057337269E+01   2.400000000E+02   0.000000000E+00   1.692637825E+01 
  9.500000000E-04   2.118457092E+01   3.026480627E+00   1.513240649E+02   0.000000000E+00   2.189232777E+01   2.400000000E+02   0.000000000E+00   1.701250839E+01 
  9.600000000E-04   2.046544371E+01   3.044802583E+00   1.522401626E+02   0.000000000E+00   2.118457092E+01   2.400000000E+02   0.000000000E+00   1.710302734E+01 
  9.700000000E-04   1.973810188E+01   3.062390441E+00   1.531195559E+02   0.000000000E+00   2.046544370E+01   2.400000000E+02   0.000000000E+00   1.717746735E+01 
  9.800000000E-04   1.900014447E+01   3.079421298E+00   1.539710985E+02   0.000000000E+00   1.973810188E+01   2.400000000E+02   1.000000000E+00   1.723595428E+01 
  9.900000000E-04   2.032014807E+01   3.095702830E+00   1.547851757E+02   0.000000000E+00   1.900014446E+01   2.400000000E+02   1.000000000E+00   1.727861786E+01 
  1.000000000E-03   2.163927191E+01   3.092609433E+00   1.546305058E+02   0.000000000E+00   2.032014807E+01   2.400000000E+02   0.000000000E+00   1.732624817E+01 
  1.010000000E-03   2.088985082E+01   3.089519126E+00   1.544759905E+02   0.000000000E+00   2.163927192E+01   2.400000000E+02   0.000000000E+00   1.739931679E+01 
  1.020000000E-03   2.012933896E+01   3.107493988E+00   1.553747331E+02   0.000000000E+00   2.088985082E+01   2.400000000E+02   0.000000000E+00   1.747662163E+01 
  1.030000000E-03   1.936083908E+01   3.124693656E+00   1.562347174E+02   0.000000000E+00   2.012933896E+01   2.400000000E+02   0.000000000E+00   1.753728104E+01 
  1.040000000E-03   1.858204365E+01   3.141305726E+00   1.570653210E+02   0.000000000E+00   1.936083908E+01   2.400000000E+02   1.000000000E+00   1.758143806E+01 
  1.050000000E-03   1.990232591E+01   3.157127935E+00   1.578564315E+02   0.000000000E+00   1.858204365E+01   2.400000000E+02   1.000000000E+00   1.760923767E+01 
  1.060000000E-03   2.122172822E+01   3.153973168E+00   1.576986926E+02   0.000000000E+00   1.990232592E+01   2.400000000E+02   1.000000000E+00   1.764189720E+01 
  1.070000000E-03   2.254047095E+01   3.150821541E+00   1.575411114E+02   0.000000000E+00   2.122172823E+01   2.400000000E+02   0.000000000E+00   1.770030022E+01 
  1.080000000E-03   2.175129200E+01   3.147672274E+00   1.573836482E+02   0.000000000E+00   2.254047095E+01   2.400000000E+02   0.000000000E+00   1.778391647E+01 
  1.090000000E-03   2.095052771E+01   3.166459770E+00   1.583230232E+02   0.000000000E+00   2.175129200E+01   2.400000000E+02   0.000000000E+00   1.787115669E+01 
  1.100000000E-03   2.014142184E+01   3.184431186E+00   1.592215942E+02   0.000000000E+00   2.095052771E+01   2.400000000E+02   0.000000000E+00   1.794075203E+01 
  1.110000000E-03   1.932156765E+01   3.201784025E+00   1.600892367E+02   0.000000000E+00   2.014142184E+01   2.400000000E+02   0.000000000E+00   1.799285698E+01 
  1.120000000E-03   1.849152960E+01   3.218305466E+00   1.609153084E+02   0.000000000E+00   1.932156764E+01   2.400000000E+02   1.000000000E+00   1.802762985E+01 
  1.130000000E-03   1.981187218E+01   3.233985851E+00   1.616993278E+02   0.000000000E+00   1.849152959E+01   2.400000000E+02   1.000000000E+00   1.804520798E+01 
  1.140000000E-03   2.113133478E+01   3.230754288E+00   1.615377489E+02   0.000000000E+00   1.981187218E+01   2.400000000E+02   1.000000000E+00   1.806733704E+01 
  1.150000000E-03   2.245013776E+01   3.227525923E+00   1.613763314E+02   0.000000000E+00   2.113133479E+01   2.400000000E+02   0.000000000E+00   1.811542320E+01 
  1.160000000E-03   2.161005975E+01   3.224300002E+00   1.612150350E+02   0.000000000E+00   2.245013776E+01   2.400000000E+02   0.000000000E+00   1.818892860E+01 
  1.170000000E-03   2.075859216E+01   3.242882499E+00   1.621441601E+02   0.000000000E+00   2.161005974E+01   2.400000000E+02   0.000000000E+00   1.826575279E+01 
  1.180000000E-03   1.989895071E+01   3.260598405E+00   1.630299557E+02   0.000000000E+00   2.075859215E+01   2.400000000E+02   0.000000000E+00   1.832412338E+01 
  1.190000000E-03   1.902880674E+01   3.277658024E+00   1.638829370E+02   0.000000000E+00   1.989895070E+01   2.400000000E+02   1.000000000E+00   1.836421585E+01 
  1.200000000E-03   2.034879123E+01   3.293836137E+00   1.646918428E+02   0.000000000E+00   1.902880673E+01   2.400000000E+02   1.000000000E+00   1.838620949E+01 
  1.210000000E-03   2.166789599E+01   3.290544768E+00   1.645272736E+02   0.000000000E+00   2.034879124E+01   2.400000000E+02   0.000000000E+00   1.841226196E+01 
  1.220000000E-03   2.078682499E+01   3.287256661E+00   1.643628689E+02   0.000000000E+00   2.166789599E+01   2.400000000E+02   0.000000000E+00   1.846418381E+01 
  1.230000000E-03   1.989499482E+01   3.304963833E+00   1.652482276E+02   0.000000000E+00   2.078682498E+01   2.400000000E+02   0.000000000E+00   1.851944733E+01 
  1.240000000E-03   1.899547967E+01   3.321764794E+00   1.660882760E+02   0.000000000E+00   1.989499482E+01   2.400000000E+02   1.000000000E+00   1.855587578E+01 
  1.250000000E-03   2.031548638E+01   3.337880194E+00   1.668940459E+02   0.000000000E+00   1.899547966E+01   2.400000000E+02   1.000000000E+00   1.857366371E+01 
  1.260000000E-03   2.163461333E+01   3.334544786E+00   1.667272761E+02   0.000000000E+00   2.031548638E+01   2.400000000E+02   0.000000000E+00   1.859530067E+01 
  1.270000000E-03   2.072432342E+01   3.331212739E+00   1.665606730E+02   0.000000000E+00   2.163461333E+01   2.400000000E+02   0.000000000E+00   1.864289474E+01 
  1.280000000E-03   1.980337435E+01   3.348820819E+00   1.674410774E+02   0.000000000E+00   2.072432341E+01   2.400000000E+02   0.000000000E+00   1.869362640E+01 
  1.290000000E-03   1.887482730E+01   3.365493669E+00   1.682747203E+02   0.000000000E+00   1.980337434E+01   2.400000000E+02   1.000000000E+00   1.872503090E+01 
  1.300000000E-03   2.019491442E+01   3.381459273E+00   1.690730006E+02   0.000000000E+00   1.887482730E+01   2.400000000E+02   1.000000000E+00   1.873731232E+01 
  1.310000000E-03   2.151412173E+01   3.378080322E+00   1.689040536E+02   0.000000000E+00   2.019491443E+01   2.400000000E+02   0.000000000E+00   1.875326347E+01 
  1.320000000E-03   2.057502342E+01   3.374704761E+00   1.687352753E+02   0.000000000E+00   2.151412174E+01   2.400000000E+02   0.000000000E+00   1.879528809E+01 
  1.330000000E-03   1.962542298E+01   3.392127390E+00   1.696064066E+02   0.000000000E+00   2.057502342E+01   2.400000000E+02   0.000000000E+00   1.884027290E+01 
  1.340000000E-03   1.866835408E+01   3.408586295E+00   1.704293521E+02   0.000000000E+00   1.962542297E+01   2.400000000E+02   1.000000000E+00   1.886547279E+01 
