Time,I_L4_,I_L5_,I_L6_,I_L7_,iout_est_filt_COMP,i_out_M_COMP,iout_est_COMP,udc_COMP,i_pred_COMP,i_ref_COMP,iL_COMP,Uref_COMP,iout_est_filt_MPC,i_out_M_MPC,iout_est_MPC,udc_MPC,i_pred_MPC,i_ref_IP2,iL_MPC,Uref_MPC,iout_est_filt_BB,i_out_M_BB,iout_est_BB,udc_BB,i_pred_BB,i_ref_BB,iL_BB,Uref_BB,i_exp,pwmBB,i_out_M_BB1,udc_BB1,i_pred_BB1,iL_BB1,Uref_BB1,pwmBB1,i_ref_BB1
0.222094,-1.969943813,-0.2365311067,0.09437113842,2.207027023,-0.1137419872,0.1609323661,6.601006985,160.8257096,-2.428086996,-0.8570267558,-1.929460105,160,-0.1114511057,0.1601166595,6.664075851,160.1309407,-0.6856968403,2.425789118,-0.1964513459,160,0.1599656883,0.1603864215,0.2514648438,160.3832161,0,0.2555402815,0.02770653396,160,-0.8594714403,1,0.1722500329,172.2955556,0,2.255300164,160,0,4.315847397
0.222083,-1.078289351,0.6455668222,-1.37276431,3.268481957,-0.1137419872,0.1609323661,6.601006985,160.916165,-2.428086996,-0.8570267558,-1.037714867,160,-0.1114511057,0.1601166595,6.664075851,160.1262979,-0.6856968403,2.425789118,0.6856736334,160,0.1597126943,0.1603944462,0.1202514172,160.3920383,0,0.2573754191,-1.439477842,160,-0.8594714403,1,0.1721025136,172.1517932,0,3.316695526,160,0,4.340178013
0.222096,-2.13182897,-0.3968295136,0.3610074395,2.013917446,-0.1137419872,0.1609323661,6.601006985,160.8039971,-2.428086996,-0.8570267558,-2.091365271,160,-0.1114511057,0.1601166595,6.664075851,160.1265732,-0.6856968403,2.425789118,-0.356758143,160,0.1599656883,0.1603864215,0.2514648438,160.3816121,0,0.2555402815,0.2943517075,160,-0.8594714403,1,0.1722500329,172.3154199,0,2.062197229,160,0,4.315847397
0.2220855,-1.281109162,0.4450420205,-1.039229934,3.027362408,-0.1137419872,0.1609323661,6.601006985,160.8999142,-2.428086996,-0.8570267558,-1.240552443,160,-0.1114511057,0.1601166595,6.664075851,160.1316137,-0.6856968403,2.425789118,0.4851455238,160,0.1597126943,0.1603944462,0.1202514172,160.3900332,0,0.2573754191,-1.10593237,160,-0.8594714403,1,0.1721025136,172.1895927,0,3.075592939,160,0,4.340178013
0.2220945,-2.010422622,-0.2766088713,0.1610335474,2.1587521,-0.1137419872,0.1609323661,6.601006985,160.8204332,-2.428086996,-0.8570267558,-1.969943817,160,-0.1114511057,0.1601166595,6.664075851,160.1299991,-0.6856968403,2.425789118,-0.2365311076,160,0.1599656883,0.1603864215,0.2514648438,160.3828151,0,0.2555402815,0.09437115978,160,-0.8594714403,1,0.1722500329,172.3007028,0,2.207027023,160,0,4.315847397
0.2220815,-0.9565559076,0.7658885755,-1.572911626,3.413111695,-0.1137419872,0.1609323661,6.601006985,160.9246983,-2.428086996,-0.8570267558,-0.9159715724,160,-0.1114511057,0.1601166595,6.664075851,160.1219052,-0.6856968403,2.425789118,0.8059965673,160,0.1597126943,0.1603944462,0.1202514172,160.3932413,0,0.2573754191,-1.639631847,160,-0.8594714403,1,0.1721025136,172.1276668,0,3.461314126,160,0,4.340178013
0.2220825,-1.037714865,0.6856736343,-1.439477858,3.31669553,-0.1137419872,0.1609323661,6.601006985,160.9191109,-2.428086996,-0.8570267558,-0.9971370289,160,-0.1114511057,0.1601166595,6.664075851,160.1249339,-0.6856968403,2.425789118,0.7257809038,160,0.1597126943,0.1603944462,0.1202514172,160.3924393,0,0.2573754191,-1.506193627,160,-0.8594714403,1,0.1721025136,172.1438716,0,3.364905471,160,0,4.340178013
0.222087,-1.402756522,0.3247369518,-0.8391359947,2.882652229,-0.1137419872,0.1609323661,6.601006985,160.8889469,-2.428086996,-0.8570267558,-1.362211272,160,-0.1114511057,0.1601166595,6.664075851,160.1336,-0.6856968403,2.425789118,0.3648376676,160,0.1597126943,0.1603944462,0.1202514172,160.3888301,0,0.2573754191,-0.9058317403,160,-0.8594714403,1,0.1721025136,172.2108254,0,2.93089197,160,0,4.340178013
0.2220885,-1.524368262,0.204441447,-0.6390620687,2.737915869,-0.1137419872,0.1609323661,6.601006985,160.8770675,-2.428086996,-0.8570267558,-1.483835085,160,-0.1114511057,0.1601166595,6.664075851,160.134684,-0.6856968403,2.425789118,0.2445387715,160,0.1597126943,0.1603944462,0.1202514172,160.3876271,0,0.2573754191,-0.7057511482,160,-0.8594714403,1,0.1721025136,172.2309726,0,2.786164092,160,0,4.340178013
0.2220925,-1.848478249,-0.1162860956,-0.1056294245,2.351840779,-0.1137419872,0.1609323661,6.601006985,160.8409314,-2.428086996,-0.8570267558,-1.807980244,160,-0.1114511057,0.1601166595,6.664075851,160.1331643,-0.6856968403,2.425789118,-0.07620074172,160,0.1599656883,0.1603864215,0.2514648438,160.3844191,0,0.2555402815,-0.1723007301,160,-0.8594714403,1,0.1722500329,172.2793901,0,2.400108091,160,0,4.315847397
0.222093,-1.888971559,-0.1563696521,-0.03896034744,2.303571443,-0.1137419872,0.1609323661,6.601006985,160.8359587,-2.428086996,-0.8570267558,-1.848478252,160,-0.1114511057,0.1601166595,6.664075851,160.1325233,-0.6856968403,2.425789118,-0.1162860954,160,0.1599656883,0.1603864215,0.2514648438,160.3840181,0,0.2555402815,-0.1056294252,160,-0.8594714403,1,0.1722500329,172.2848993,0,2.351840777,160,0,4.315847397
0.222088,-1.483835086,0.2445387746,-0.7057511539,2.786164097,-0.1137419872,0.1609323661,6.601006985,160.8811287,-2.428086996,-0.8570267558,-1.443297819,160,-0.1114511057,0.1601166595,6.664075851,160.134423,-0.6856968403,2.425789118,0.2846372951,160,0.1597126943,0.1603944462,0.1202514172,160.3880281,0,0.2573754191,-0.772442462,160,-0.8594714403,1,0.1721025136,172.2243775,0,2.834409575,160,0,4.340178013
